,user_id,Recency_x,Frequency_x,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass,max_created_date,min_created_date,new_max_date,new_min_date
8560,f3558,2440,1,797.1400146,2,4,3,243,5/5/2018,5/5/2018,2018-05-05,2018-05-05
8561,f358f,2444,1,724.8200073,2,4,3,243,5/1/2018,5/1/2018,2018-05-01,2018-05-01
8562,f369f,2554,1,180.9100037,4,4,4,444,1/11/2018,1/11/2018,2018-01-11,2018-01-11
8563,f371b,2399,1,21.81999969,1,4,4,144,6/15/2018,6/15/2018,2018-06-15,2018-06-15
8564,f372b,2550,1,1271.819946,4,4,2,442,1/15/2018,1/15/2018,2018-01-15,2018-01-15
8565,f3773,2461,1,153.6399994,2,4,4,244,4/14/2018,4/14/2018,2018-04-14,2018-04-14
8566,f3778,2506,1,1226.35995466,4,4,2,442,2/28/2018,2/28/2018,2018-02-28,2018-02-28
8567,f3790,2436,1,26.36000061,2,4,4,244,5/9/2018,5/9/2018,2018-05-09,2018-05-09
8568,f3877,2494,1,1226.35995466,3,4,2,342,3/12/2018,3/12/2018,2018-03-12,2018-03-12
8569,f38f0,2473,1,1226.359985,2,4,2,242,4/2/2018,4/2/2018,2018-04-02,2018-04-02
8570,f396e,2426,1,544.539978,1,4,3,143,5/19/2018,5/19/2018,2018-05-19,2018-05-19
8571,f3980,2531,1,908.1799927,4,4,3,443,2/3/2018,2/3/2018,2018-02-03,2018-02-03
8572,f3a8b,2405,2,1712.00003794,1,1,1,111,6/9/2018,5/16/2018,2018-06-09,2018-05-16
8573,f3b11,2485,1,44.54999924,2,4,4,244,3/21/2018,3/21/2018,2018-03-21,2018-03-21
8574,f3c16,2548,1,690.0,4,4,3,443,1/17/2018,1/17/2018,2018-01-17,2018-01-17
8575,f3cf4,2502,1,1226.35995466,3,4,2,342,3/4/2018,3/4/2018,2018-03-04,2018-03-04
8576,f3d8f,2417,1,80.91000366,1,4,4,144,5/28/2018,5/28/2018,2018-05-28,2018-05-28
8577,f3d9d,2500,1,1090.00001527,3,4,2,342,3/6/2018,3/6/2018,2018-03-06,2018-03-06
8578,f3db9,2504,1,1090.00001527,4,4,2,442,3/2/2018,3/2/2018,2018-03-02,2018-03-02
8579,f3f51,2548,1,271.8200073,4,4,3,443,1/17/2018,1/17/2018,2018-01-17,2018-01-17
8580,f3f9d,2464,1,0.090000004,2,4,4,244,4/11/2018,4/11/2018,2018-04-11,2018-04-11
8581,f4087,2491,1,1090.00001527,2,4,2,242,3/15/2018,3/15/2018,2018-03-15,2018-03-15
8582,f412c,2547,1,317.2600098,4,4,3,443,1/18/2018,1/18/2018,2018-01-18,2018-01-18
8583,f4220,2507,1,1362.7300034,4,4,1,441,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8584,f42ef,2498,1,976.3599700899999,3,4,3,343,3/8/2018,3/8/2018,2018-03-08,2018-03-08
8585,f4456,2406,1,80.91000366,1,4,4,144,6/8/2018,6/8/2018,2018-06-08,2018-06-08
8586,f44be,2400,1,399.9700012,1,4,3,143,6/14/2018,6/14/2018,2018-06-14,2018-06-14
8587,f44c9,2529,1,153.6399994,4,4,4,444,2/5/2018,2/5/2018,2018-02-05,2018-02-05
8588,f451c,2538,1,153.6399994,4,4,4,444,1/27/2018,1/27/2018,2018-01-27,2018-01-27
8589,f4531,2490,1,1285.44998515,2,4,2,242,3/16/2018,3/16/2018,2018-03-16,2018-03-16
8590,f4587,2464,1,1226.359985,2,4,2,242,4/11/2018,4/11/2018,2018-04-11,2018-04-11
8591,f467b,2535,1,908.1799927,4,4,3,443,1/30/2018,1/30/2018,2018-01-30,2018-01-30
8592,f46c4,2512,1,62.72999954,4,4,4,444,2/22/2018,2/22/2018,2018-02-22,2018-02-22
8593,f47be,2428,1,1180.910034,1,4,2,142,5/17/2018,5/17/2018,2018-05-17,2018-05-17
8594,f47cc,2563,1,53.09999847,4,4,4,444,1/2/2018,1/2/2018,2018-01-02,2018-01-02
8595,f47ef,2498,1,1090.00001527,3,4,2,342,3/8/2018,3/8/2018,2018-03-08,2018-03-08
8596,f48de,2489,1,597.0899964,2,4,3,243,3/17/2018,3/17/2018,2018-03-17,2018-03-17
